Date,ALL,é¿å¯çƒê∂éYêîB,é¿å¯çƒê∂éYêîN
2022/4/10,40991.0,1.0165876266104603,1.0137808868439409
2022/4/11,21045.0,1.0091778913710752,1.0149465622444547
2022/4/12,60760.0,1.0181599384059508,1.018446822613825
2022/4/13,58565.0,1.0173431355374198,1.0165842762421564
2022/4/14,49658.0,0.9925839478643497,1.0105327544409426
2022/4/15,44372.0,0.9753164857611096,1.0034984461312855
2022/4/16,43883.0,0.957624729305763,0.9922642532133328
2022/4/17,32462.0,0.9459224985540775,0.9830529585629972
2022/4/18,15593.0,0.9562100264976164,0.9770966123965809
2022/4/19,49008.0,0.944636277333505,0.9622247398577001
2022/4/20,49407.0,0.9315084197803422,0.9527965415422496
2022/4/21,43462.0,0.9476938485594857,0.9495851063814809
2022/4/22,40237.0,0.9636722307592226,0.9495324764657114
2022/4/23,43447.0,0.9835686067285675,0.9568653736904711
2022/4/24,33855.0,1.0034920380073855,0.9656967900956286
2022/4/25,16682.0,1.0090711069528098,0.9716895829947155
2022/4/26,47689.0,0.9991636637346414,0.9813054702132313
2022/4/27,45486.0,0.9810212315916812,0.9861744000754454
2022/4/28,38667.0,0.9682799631704024,0.9873491528807545
2022/4/29,34805.0,0.9622422080942782,0.9857560599174222
2022/4/30,15785.0,0.8756159255514672,0.9550910072923352
2022/5/1,26647.0,0.8662093150853122,0.9451807345942551
2022/5/2,14983.0,0.9617674454541162,0.9420785767172943
2022/5/3,38970.0,0.9538538542972436,0.9327308659271024
2022/5/4,20860.0,0.8511795842222242,0.9046295763443816
2022/5/5,19414.0,0.796236701448387,0.8820280958277515
2022/5/6,18821.0,0.8152393336724046,0.8627789892881536
2022/5/7,49583.0,1.1038935286707414,0.9423866900700437
2022/5/8,40152.0,1.304238487265243,0.9697968063940589
2022/5/9,20033.0,1.0980304102959668,0.9787468356225187
2022/5/10,49834.0,1.0784779789232826,1.004425507884134
2022/5/11,45415.0,1.1704204818291608,1.071989607735815
2022/5/12,38604.0,1.2000256062040173,1.1293206089728618
2022/5/13,36996.0,1.1536061368457402,1.1837729531341887
2022/5/14,39537.0,1.030974462928952,1.1074839972603732
2022/5/15,30594.0,0.9301396565425473,1.0747885398005967
2022/5/16,15329.0,0.947289251250134,1.0617300270055954
2022/5/17,43851.0,0.9590556792190428,1.0393477865038159
2022/5/18,42257.0,0.964336016292834,1.0045733759187787
2022/5/19,36788.0,0.980129910596582,0.9809449749673516
