Date,ALL,ä¥êıé“_MAV,ä¥êıé“_TMA,é¿å¯çƒê∂éYêîC,é¿å¯çƒê∂éYêîK,é¿å¯çƒê∂éYêîK_7ïΩãœ,é¿å¯çƒê∂éYêîB,é¿å¯çƒê∂éYêîN,é¿å¯çƒê∂éYêîB_dì˙å„,é¿å¯çƒê∂éYêîN_dì˙å„
2022/4/4,19865.0,45913.857142857145,45944.40816326532,1.0179436044881212,1.0137695445305936,1.014340357390389,1.0184517339191184,1.0317672483040716,1.0143654517856764,1.0135212005453884
2022/4/5,55949.0,46359.857142857145,46286.30612244898,1.0186909736839431,1.0143945577622775,1.01469551470518,1.014255422327181,1.0263606977403141,1.014705693620454,1.0119863594914078
2022/4/6,57634.0,46867.28571428572,46711.122448979586,1.0208977970174113,1.016687869457143,1.0137748866220508,1.0130378087203327,1.0221747888983286,1.013753339368296,1.0102616392399324
2022/4/7,53080.0,47128.857142857145,47095.67346938775,1.0217466348569855,1.0174861079818645,1.0115250581098556,1.0143654517856764,1.0191446617074127,1.01145401160352,1.0071859128945146
2022/4/8,49264.0,47297.42857142857,47340.67346938776,1.019062072593503,1.0134775399819562,1.0078394038819123,1.014705693620454,1.016841811138653,1.0077208838228804,1.0026821287881158
2022/4/9,53119.0,47984.71428571428,47422.12244897959,1.0130887149981804,1.006931612939011,1.0030093146973897,1.013753339368296,1.0150536555242844,1.0028845157259796,0.9970195619639509
2022/4/10,40991.0,48117.71428571428,47242.59183673469,1.003008479063353,0.9979281741161437,0.996385101014419,1.01145401160352,1.0135212005453884,0.9963182806201745,0.9904852393298142
2022/4/11,21045.0,47628.857142857145,46851.63265306122,0.9914099511867505,0.987969964934991,0.9879213546981388,1.0077208838228804,1.0119863594914078,0.9879782646508775,0.9836634401242722
2022/4/12,60760.0,46930.0,46325.32653061225,0.9809335979282031,0.9805839334706188,0.9790919226587158,1.0028845157259796,1.0102616392399324,0.979307826560855,0.9770769299287079
2022/4/13,58565.0,45610.57142857143,45461.0,0.9674863732111448,0.970318373676347,0.9708987012568312,0.9963182806201745,1.0071859128945146,0.9712451540409697,0.9710807280095658
2022/4/14,49658.0,44392.142857142855,44390.775510204076,0.953890868802576,0.9582398837679039,0.9644481019799026,0.9879782646508775,1.0026821287881158,0.9648196034924086,0.9665321882094385
2022/4/15,44372.0,43613.28571428572,43263.9387755102,0.9434034810107571,0.9516715157059942,0.9605371189770927,0.979307826560855,0.9970195619639509,0.9607776424435843,0.9638882594397092
2022/4/16,43883.0,41934.42857142857,42152.551020408166,0.9370411142293937,0.9495790631258196,0.9587184182340606,0.9712451540409697,0.9904852393298142,0.9586978280020348,0.9632139471735027
2022/4/17,32462.0,40626.142857142855,41220.755102040814,0.9376273977389867,0.9527739791776438,0.9595056665396532,0.9648196034924086,0.9836634401242722,0.9591898362964192,0.9643895640719151
2022/4/18,15593.0,39741.0,40491.448979591834,0.9438160161607941,0.960593083915322,0.9631119613444578,0.9607776424435843,0.9770769299287079,0.9626028284045381,0.9663737557177886
2022/4/19,49008.0,39150.28571428572,39895.63265306123,0.9519305937364477,0.9678530282693929,0.9681235159707737,0.9586978280020348,0.9710807280095658,0.9675908830466688,0.9684531095487476
2022/4/20,49407.0,39088.0,39512.73469387755,0.9624606235400902,0.9758291118154955,0.9734284066654874,0.9591898362964192,0.9665321882094385,0.9730142616733729,0.9701910664513879
2022/4/21,43462.0,39287.0,39236.71428571428,0.9720256245623475,0.9834839474015363,0.9761320074626408,0.9626028284045381,0.9638882594397092,0.9759428691444068,0.9706606479751386
2022/4/22,40237.0,39442.57142857143,38989.28571428572,0.9785020550007132,0.986752398090205,0.9749920480297595,0.9675908830466688,0.9632139471735027,0.9750215705852082,0.9689092110568943
2022/4/23,43447.0,39254.142857142855,38715.387755102034,0.9812412564082317,0.9867132979888161,0.9717903073515493,0.9730142616733729,0.9643895640719151,0.9720178676780945,0.9643547634656061
2022/4/24,33855.0,38694.0,37885.857142857145,0.9680981133109267,0.9716991847577173,0.9664313542829577,0.9759428691444068,0.9663737557177886,0.9668641469166341,0.9566331985023457
2022/4/25,16682.0,38009.0,36880.795918367345,0.9513968650010992,0.9526133678851526,0.9574300074326859,0.9750215705852082,0.9684531095487476,0.9581587719807068,0.9483785724811593
2022/4/26,47689.0,37233.0,35818.83673469387,0.9375026373759967,0.9454408435219214,0.944601139364094,0.9720178676780945,0.9701910664513879,0.9457681666804728,0.940662449904384
2022/4/27,45486.0,33281.28571428572,34605.85714285714,0.9245550834207852,0.938316440335355,0.9288360383029366,0.9668641469166341,0.9706606479751386,0.9305452121009286,0.9339632427527547
