Date,ALL,éÄé“êî,ä¥êıé“_7ì˙ïΩãœ,éÄñSé“_7ì˙ïΩãœ,ívéÄó¶
2022/4/29,34805.0,44.0,32008.85714285714,41.0,0.0010532798957431427
2022/4/30,15785.0,19.0,30763.285714285717,40.142857142857146,0.0011562948412532563
2022/5/1,26647.0,32.0,27245.285714285717,34.42857142857143,0.0013213295091680341
2022/5/2,14983.0,30.0,24494.85714285714,31.428571428571427,0.0014347034946111138
2022/5/3,38970.0,52.0,22211.42857142857,30.142857142857142,0.0015950604579367123
2022/5/4,20860.0,25.0,27039.714285714286,30.857142857142858,0.0013049588436057015
2022/5/5,19414.0,18.0,28969.0,30.285714285714285,0.0012032566832525407
2022/5/6,18821.0,35.0,29690.42857142857,30.285714285714285,0.0011932657470180388
2022/5/7,49583.0,24.0,31242.42857142857,30.142857142857142,0.0011111263528992168
2022/5/8,40152.0,28.0,34750.28571428572,32.42857142857143,0.0010071859635275352
2022/5/9,20033.0,30.0,37491.71428571428,35.42857142857143,0.0009564017954443268
2022/5/10,49834.0,51.0,40088.142857142855,34.857142857142854,0.0008730761144192975
2022/5/11,45415.0,41.0,38653.0,36.285714285714285,0.0009202760088849137
2022/5/12,38604.0,39.0,37287.57142857143,35.42857142857143,0.0009003382973261868
2022/5/13,36996.0,31.0,36615.57142857143,35.142857142857146,0.000854437417336106
2022/5/14,39537.0,34.0,35760.857142857145,32.57142857142857,0.0008588800204533288
2022/5/15,30594.0,22.0,35309.71428571428,34.142857142857146,0.0008051204039357845
2022/5/16,15329.0,28.0,35050.28571428572,33.714285714285715,0.00079070070755486
2022/5/17,43851.0,33.0,34771.0,35.57142857142857,0.0007847261880795573
2022/5/18,42257.0,52.0,34257.42857142857,36.0,0.0007464491538852887
2022/5/19,36788.0,36.0,33720.857142857145,35.142857142857146,0.0006990162934343305
2022/5/20,35041.0,44.0,33362.57142857143,35.42857142857143,0.0007150870522142007
2022/5/21,35942.0,37.0,32510.285714285717,35.285714285714285,0.0006767089097076968
2022/5/22,26838.0,16.0,31435.85714285714,34.857142857142854,0.0006543937541751686
2022/5/23,12821.0,30.0,30204.571428571428,35.42857142857143,0.0006574217715388399
2022/5/24,37885.0,32.0,28764.85714285714,34.714285714285715,0.0006803937344179903
2022/5/25,34736.0,49.0,27207.285714285717,35.0,0.0007245958277982263
2022/5/26,28169.0,40.0,25857.571428571428,35.857142857142854,0.0008010916946127965
2022/5/27,24963.0,39.0,25222.42857142857,35.0,0.0007702894815838511
2022/5/28,25039.0,39.0,23362.714285714286,35.57142857142857,0.0008377206660185033
